Dan	Morgan	told
were	young	,
young	,	not
,	not	more
not	more	than
more	than	nineteen
than	nineteen	or
nineteen	or	twenty
or	twenty	.
twenty	.	They
.	They	were
They	were	dirty
were	dirty	,
dirty	,	their
,	their	clothes
their	clothes	were
clothes	were	torn
were	torn	,
torn	,	and
,	and	the
and	the	girl
the	girl	was
girl	was	so
was	so	exhausted
so	exhausted	that
exhausted	that	she
that	she	fell
she	fell	when
fell	when	she
when	she	was
she	was	still
was	still	twenty
still	twenty	feet
twenty	feet	from
feet	from	the
from	the	front
the	front	door
front	door	.
door	.	She
.	She	lay
She	lay	there
lay	there	,
there	,	making
,	making	no
making	no	effort
no	effort	to
effort	to	get
to	get	back
get	back	on
back	on	her
on	her	feet
her	feet	.
feet	.	The
.	The	boy
The	boy	came
boy	came	on
came	on	to
on	to	the
to	the	porch
the	porch	and
porch	and	sat
and	sat	down
sat	down	,
down	,	his
,	his	gaze
his	gaze	on
gaze	on	Morgan
on	Morgan	as
Morgan	as	if
as	if	half
if	half	expecting
half	expecting	him
expecting	him	to
him	to	shoot
to	shoot	and
shoot	and	not
and	not	really
not	really	caring
really	caring	.
caring	.	Morgan
.	Morgan	hesitated
Morgan	hesitated	,
hesitated	,	thinking
,	thinking	that
thinking	that	if
that	if	this
if	this	was
this	was	a
was	a	trick
a	trick	,
trick	,	it
,	it	was
it	was	a
was	a	good
a	good	one
good	one	.
one	.	He
.	He	didn't
He	didn't	think
didn't	think	it
think	it	was
it	was	possible
was	possible	for
possible	for	this
for	this	couple
this	couple	to
couple	to	be
to	be	pretending
be	pretending	.
pretending	.	The
.	The	boy
The	boy	licked
boy	licked	his
licked	his	dry
his	dry	lips
dry	lips	.
lips	.	He
.	He	asked
He	asked	,
asked	,	``
,	``	Could
``	Could	we
Could	we	have
we	have	a
have	a	drink
a	drink	''
drink	''	?
''	?	?
?	?	Morgan
?	Morgan	jerked
Morgan	jerked	his
jerked	his	head
his	head	toward
head	toward	the
toward	the	front
the	front	door
front	door	.
door	.	``
.	``	In
``	In	the
In	the	kitchen
the	kitchen	''
kitchen	''	,
''	,	he
,	he	said
he	said	.
said	.	Leaning
.	Leaning	his
Leaning	his	Winchester
his	Winchester	against
Winchester	against	the
against	the	front
the	front	of
front	of	the
of	the	house
the	house	,
house	,	he
,	he	walked
he	walked	to
walked	to	the
to	the	girl
the	girl	.
girl	.	``
.	``	Get
``	Get	up
Get	up	.
up	.	There's
.	There's	water
There's	water	in
water	in	the
in	the	house
the	house	''
house	''	.
''	.	She
.	She	didn't
She	didn't	move
didn't	move	or
move	or	say
or	say	anything
say	anything	.
anything	.	Her
.	Her	eyes
Her	eyes	were
eyes	were	glazed
were	glazed	as
glazed	as	if
as	if	she
if	she	didn't
she	didn't	hear
didn't	hear	or
hear	or	even
or	even	see
even	see	him
see	him	.
him	.	She
.	She	had
She	had	reached
had	reached	a
reached	a	point
a	point	at
point	at	which
at	which	she
which	she	didn't
she	didn't	even
didn't	even	care
even	care	how
care	how	she
how	she	looked
she	looked	.
looked	.	Her
.	Her	face
Her	face	was
face	was	very
was	very	thin
very	thin	,
thin	,	and
,	and	burned
and	burned	by
burned	by	the
by	the	sun
the	sun	until
sun	until	much
until	much	of
much	of	the
of	the	skin
the	skin	was
skin	was	dead
was	dead	and
dead	and	peeling
and	peeling	,
peeling	,	the
,	the	new
the	new	skin
new	skin	under
skin	under	it
under	it	red
it	red	and
red	and	angry
and	angry	.
angry	.	Her
.	Her	blond
Her	blond	hair
blond	hair	was
hair	was	frowzy
was	frowzy	,
frowzy	,	her
,	her	dress
her	dress	torn
dress	torn	in
torn	in	several
in	several	places
several	places	,
places	,	and
,	and	her
and	her	shoes
her	shoes	were
shoes	were	so
were	so	completely
so	completely	worn
completely	worn	out
worn	out	that
out	that	they
that	they	were
they	were	practically
were	practically	no
practically	no	protection
no	protection	.
protection	.	It
.	It	must
It	must	have
must	have	hurt
have	hurt	her
hurt	her	even
her	even	to
even	to	walk
to	walk	,
walk	,	for
,	for	the
for	the	sole
the	sole	was
sole	was	completely
was	completely	off
completely	off	her
off	her	left
her	left	foot
left	foot	and
foot	and	Morgan
and	Morgan	saw
Morgan	saw	that
saw	that	it
that	it	was
it	was	bruised
was	bruised	and
bruised	and	bleeding
and	bleeding	.
bleeding	.	He
.	He	picked
He	picked	her
picked	her	up
her	up	,
up	,	sliding
,	sliding	one
sliding	one	hand
one	hand	under
hand	under	her
under	her	shoulders
her	shoulders	,
shoulders	,	the
,	the	other
the	other	under
other	under	her
under	her	knees
her	knees	,
knees	,	and
,	and	carried
and	carried	her
carried	her	into
her	into	the
into	the	house
the	house	.
house	.	She
.	She	was
She	was	amazingly
was	amazingly	light
amazingly	light	,
light	,	and
,	and	so
and	so	relaxed
so	relaxed	in
relaxed	in	his
in	his	arms
his	arms	that
arms	that	he
that	he	wasn't
he	wasn't	even
wasn't	even	sure
even	sure	she
sure	she	was
she	was	conscious
was	conscious	.
conscious	.	Any
.	Any	lingering
Any	lingering	suspicion
lingering	suspicion	that
suspicion	that	this
that	this	was
this	was	a
was	a	trick
a	trick	Al
trick	Al	Budd
Al	Budd	had
Budd	had	thought
had	thought	up
thought	up	was
up	was	dispelled
was	dispelled	.
dispelled	.	No
.	No	girl
No	girl	would
girl	would	go
would	go	this
go	this	far
this	far	to
far	to	fool
to	fool	a
fool	a	man
a	man	so
man	so	she
so	she	could
she	could	kill
could	kill	him
kill	him	.
him	.	Besides
.	Besides	,
Besides	,	she
,	she	had
she	had	a
had	a	sweet
a	sweet	face
sweet	face	that
face	that	attracted
that	attracted	him
attracted	him	.
him	.	He
.	He	put
He	put	her
put	her	down
her	down	on
down	on	the
on	the	couch
the	couch	,
couch	,	and
,	and	going
and	going	into
going	into	the
into	the	kitchen
the	kitchen	,
kitchen	,	saw
,	saw	that
saw	that	the
that	the	boy
the	boy	had
boy	had	dropped
had	dropped	into
dropped	into	a
into	a	chair
a	chair	beside
chair	beside	the
beside	the	table
the	table	.
table	.	They
.	They	looked
They	looked	a
looked	a	good
a	good	deal
good	deal	alike
deal	alike	,
alike	,	Morgan
,	Morgan	thought
Morgan	thought	.
thought	.	Both
.	Both	had
Both	had	blonde
had	blonde	hair
blonde	hair	and
hair	and	blue
and	blue	eyes
blue	eyes	,
eyes	,	and
,	and	there
and	there	was
there	was	even
was	even	a
even	a	faint
a	faint	similarity
faint	similarity	of
similarity	of	features
of	features	.
features	.	Morgan
.	Morgan	filled
Morgan	filled	the
filled	the	dipper
the	dipper	from
dipper	from	the
from	the	water
the	water	bucket
water	bucket	on
bucket	on	the
on	the	shelf
the	shelf	,
shelf	,	went
,	went	back
went	back	into
back	into	the
into	the	front
the	front	room
front	room	,
room	,	lifted
,	lifted	the
lifted	the	girl's
the	girl's	head
girl's	head	,
head	,	and
,	and	held
and	held	the
held	the	edge
the	edge	of
edge	of	the
of	the	dipper
the	dipper	to
dipper	to	her
to	her	mouth
her	mouth	.
mouth	.	She
.	She	drank
She	drank	greedily
drank	greedily	,
greedily	,	and
,	and	murmured
and	murmured	,
murmured	,	``
,	``	Thank
``	Thank	you
Thank	you	''
you	''	,
''	,	as
,	as	he
as	he	lowered
he	lowered	her
lowered	her	head
her	head	.
head	.	He
.	He	stood
He	stood	looking
stood	looking	down
looking	down	at
down	at	her
at	her	for
her	for	a
for	a	moment
a	moment	,
moment	,	wondering
,	wondering	what
wondering	what	could
what	could	have
could	have	reduced
have	reduced	her
reduced	her	to
her	to	this
to	this	condition
this	condition	.
condition	.	He
.	He	had
He	had	seen
had	seen	a
seen	a	few
a	few	nester
few	nester	wagons
nester	wagons	go
wagons	go	through
go	through	the
through	the	country
the	country	,
country	,	the
,	the	families
the	families	almost
families	almost	starving
almost	starving	to
starving	to	death
to	death	,
death	,	but
,	but	he
but	he	had
he	had	never
had	never	seen
never	seen	any
seen	any	of
any	of	them
of	them	on
them	on	foot
on	foot	and
foot	and	as
and	as	bad
as	bad	off
bad	off	as
off	as	these
as	these	two
these	two	.
two	.	The
.	The	girl
The	girl	dropped
girl	dropped	off
dropped	off	to
off	to	sleep
to	sleep	.
sleep	.	Morgan
.	Morgan	returned
Morgan	returned	to
returned	to	the
to	the	kitchen
the	kitchen	,
kitchen	,	built
,	built	a
built	a	fire
a	fire	,
fire	,	and
,	and	carried
and	carried	in
carried	in	several
in	several	buckets
several	buckets	of
buckets	of	water
of	water	from
water	from	the
from	the	spring
the	spring	which
spring	which	he
which	he	poured
he	poured	into
poured	into	the
into	the	copper
the	copper	boiler
copper	boiler	that
boiler	that	he
that	he	had
he	had	placed
had	placed	on
placed	on	the
on	the	stove
the	stove	.
stove	.	He
.	He	brought
He	brought	his
brought	his	Winchester
his	Winchester	in
Winchester	in	from
in	from	the
from	the	front
the	front	of
front	of	the
of	the	house
the	house	,
house	,	then
,	then	faced
then	faced	the
faced	the	boy
the	boy	.
boy	.	``
.	``	Who
``	Who	are
Who	are	you
are	you	and
you	and	what
and	what	happened
what	happened	to
happened	to	you
to	you	''
you	''	?
''	?	?
?	?	He
?	He	asked
He	asked	.
asked	.	``
.	``	I'm
``	I'm	Billy
I'm	Billy	Jones
Billy	Jones	''
Jones	''	,
''	,	the
,	the	boy
the	boy	answered
boy	answered	.
answered	.	``
.	``	That's
``	That's	my
That's	my	wife
my	wife	Sharon
wife	Sharon	.
Sharon	.	We
.	We	ran
We	ran	out
ran	out	of
out	of	money
of	money	and
money	and	we
and	we	haven't
we	haven't	eaten
haven't	eaten	for
eaten	for	two
for	two	days
two	days	''
days	''	.
''	.	``
.	``	What
``	What	are
What	are	you
are	you	doing
you	doing	here
doing	here	''
here	''	?
''	?	?
?	?	``
?	``	Are
``	Are	we
Are	we	in
we	in	Wyoming
in	Wyoming	''
Wyoming	''	?
''	?	?
?	?	Morgan
?	Morgan	nodded
Morgan	nodded	.
nodded	.	``
.	``	About
``	About	five
About	five	miles
five	miles	north
miles	north	of
north	of	the
of	the	line
the	line	''
line	''	.
''	.	Jones
.	Jones	sighed
Jones	sighed	as
sighed	as	if
as	if	relieved
if	relieved	.
relieved	.	``
.	``	We've
``	We've	been
We've	been	looking
been	looking	for
looking	for	work
for	work	,
work	,	but
,	but	all
but	all	the
all	the	ranchers
the	ranchers	have
ranchers	have	turned
have	turned	us
turned	us	down
us	down	''
down	''	.
''	.	``
.	``	You
``	You	mean
You	mean	you
mean	you	dragged
you	dragged	your
dragged	your	wife
your	wife	all
wife	all	over
all	over	hell's
over	hell's	half-acre
hell's	half-acre	looking
half-acre	looking	for
looking	for	work
for	work	''
work	''	?
''	?	?
?	?	Morgan
?	Morgan	demanded
Morgan	demanded	.
demanded	.	``
.	``	The
``	The	town
The	town	of
town	of	Buckhorn's
of	Buckhorn's	only
Buckhorn's	only	about
only	about	six
about	six	miles
six	miles	from
miles	from	here
from	here	.
here	.	Why
.	Why	didn't
Why	didn't	you
didn't	you	go
you	go	there
go	there	''
there	''	?
''	?	?
?	?	``
?	``	We
``	We	didn't
We	didn't	want
didn't	want	town
want	town	work
town	work	''
work	''	,
''	,	Jones
,	Jones	said
Jones	said	.
said	.	``
.	``	This
``	This	is
This	is	a
is	a	mighty
a	mighty	empty
mighty	empty	country
empty	country	''
country	''	,
''	,	Morgan
,	Morgan	said
Morgan	said	.
said	.	``
.	``	There's
``	There's	only
There's	only	one
only	one	more
one	more	ranch
more	ranch	three
ranch	three	miles
three	miles	north
miles	north	of
north	of	here
of	here	.
here	.	You'd
.	You'd	have
You'd	have	starved
have	starved	to
starved	to	death
to	death	if
death	if	you'd
if	you'd	missed
you'd	missed	both
missed	both	places
both	places	''
places	''	.
''	.	``
.	``	Then
``	Then	we're
Then	we're	lucky
we're	lucky	we
lucky	we	got
we	got	here
got	here	.
here	.	Could
.	Could	you
Could	you	give
you	give	us
give	us	a
us	a	job
a	job	,
job	,	Mr.
,	Mr.	''
Mr.	''	``
''	``	Morgan
``	Morgan	.
Morgan	.	Dan
.	Dan	Morgan
Dan	Morgan	''
Morgan	''	.
''	.	He
.	He	was
He	was	silent
was	silent	a
silent	a	moment
a	moment	,
moment	,	thinking
,	thinking	he
thinking	he	could
he	could	use
could	use	a
use	a	man
a	man	this
man	this	time
this	time	of
time	of	year
of	year	,
year	,	and
,	and	if
and	if	the
if	the	girl
the	girl	could
girl	could	cook
could	cook	,
cook	,	it
,	it	would
it	would	give
would	give	him
give	him	more
him	more	time
more	time	in
time	in	the
in	the	meadows
the	meadows	,
meadows	,	but
,	but	he
but	he	knew
he	knew	nothing
knew	nothing	about
nothing	about	the
about	the	couple
the	couple	.
couple	.	They
.	They	might
They	might	kill
might	kill	him
kill	him	in
him	in	his
in	his	sleep
his	sleep	,
sleep	,	thinking
,	thinking	there
thinking	there	was
there	was	money
was	money	in
money	in	the
in	the	house
the	house	.
house	.	He
.	He	dismissed
He	dismissed	the
dismissed	the	possibility
the	possibility	at
possibility	at	once
at	once	.
once	.	The
.	The	girl's
The	girl's	thin
girl's	thin	face
thin	face	haunted
face	haunted	him
haunted	him	.
him	.	It
.	It	wasn't
It	wasn't	the
wasn't	the	face
the	face	of
face	of	a
of	a	killer
a	killer	.
killer	.	He
.	He	wasn't
He	wasn't	so
wasn't	so	sure
so	sure	about
sure	about	the
about	the	boy
the	boy	.
boy	.	He
.	He	hadn't
He	hadn't	shaved
hadn't	shaved	for
shaved	for	several
for	several	weeks
several	weeks	,
weeks	,	his
,	his	sparse
his	sparse	beard
sparse	beard	giving
beard	giving	his
giving	his	face
his	face	a
face	a	pathetic
a	pathetic	,
pathetic	,	woebegone
,	woebegone	expression
woebegone	expression	.
expression	.	There
.	There	was
There	was	more
was	more	to
more	to	this
to	this	than
this	than	Jones
than	Jones	had
Jones	had	told
had	told	him
told	him	.
him	.	They
.	They	were
They	were	running
were	running	from
running	from	something
from	something	.
something	.	He'd
.	He'd	be
He'd	be	an
be	an	idiot
an	idiot	to
idiot	to	let
to	let	them
let	them	stay
them	stay	he
stay	he	thought
he	thought	,
thought	,	but
,	but	he
but	he	couldn't
he	couldn't	send
couldn't	send	them
send	them	on
them	on	,
on	,	either
,	either	.
either	.	``
.	``	I
``	I	could
I	could	use
could	use	some
use	some	help
some	help	''
help	''	,
''	,	Morgan
,	Morgan	said
Morgan	said	finally
said	finally	,
finally	,	``
,	``	but
``	but	I
but	I	can't
I	can't	afford
can't	afford	to
afford	to	pay
to	pay	you
pay	you	anything
you	anything	.
anything	.	I
.	I	guess
I	guess	you'd
guess	you'd	better
you'd	better	go
better	go	on
go	on	in
on	in	the
in	the	morning
the	morning	''
morning	''	.
''	.	``
.	``	We'll
``	We'll	work
We'll	work	for
work	for	our
for	our	keep
our	keep	''
keep	''	,
''	,	the
,	the	boy
the	boy	said
boy	said	eagerly
said	eagerly	.
eagerly	.	``
.	``	I've
``	I've	been
I've	been	mucking
been	mucking	in
mucking	in	a
in	a	mine
a	mine	in
mine	in	the
in	the	San
the	San	Juan
San	Juan	,
Juan	,	but
,	but	I
but	I	used
I	used	to
used	to	work
to	work	on
work	on	a
on	a	ranch
a	ranch	.
ranch	.	Sharon
.	Sharon	,
Sharon	,	she's
,	she's	cooked
she's	cooked	in
cooked	in	a
in	a	restaurant
a	restaurant	.
restaurant	.	We'll
.	We'll	work
We'll	work	hard
work	hard	,
hard	,	Mr.
,	Mr.	Morgan
Mr.	Morgan	''
Morgan	''	.
''	.	``
.	``	I'll
``	I'll	see
I'll	see	''
see	''	,
''	,	Morgan
,	Morgan	said
Morgan	said	.
said	.	``
.	``	Right
``	Right	now
Right	now	you
now	you	need
you	need	a
need	a	meal
a	meal	and
meal	and	a
and	a	bath
a	bath	.
bath	.	Your
.	Your	wife's
Your	wife's	in
wife's	in	terrible
in	terrible	shape
terrible	shape	''
shape	''	.
''	.	``
.	``	I
``	I	know
I	know	''
know	''	,
''	,	Jones
,	Jones	said
Jones	said	dejectedly
said	dejectedly	.
dejectedly	.	Morgan
.	Morgan	filled
Morgan	filled	the
filled	the	fire
the	fire	box
fire	box	with
box	with	wood
with	wood	again
wood	again	,
again	,	then
,	then	started
then	started	supper
started	supper	and
supper	and	set
and	set	the
set	the	table
the	table	.
table	.	When
.	When	the
When	the	meal
the	meal	was
meal	was	ready
was	ready	,
ready	,	he
,	he	told
he	told	Jones
told	Jones	to
Jones	to	wash
to	wash	up
wash	up	,
up	,	and
,	and	going
and	going	into
going	into	the
into	the	front
the	front	room
front	room	,
room	,	woke
,	woke	the
woke	the	girl
the	girl	.
girl	.	He
.	He	said
He	said	,
said	,	``
,	``	I've
``	I've	got
I've	got	some
got	some	supper
some	supper	ready
supper	ready	''
ready	''	.
''	.	She
.	She	rubbed
She	rubbed	her
rubbed	her	eyes
her	eyes	and
eyes	and	stretched
and	stretched	,
stretched	,	then
,	then	sat
then	sat	up
sat	up	,
up	,	her
,	her	hands
her	hands	going
hands	going	to
going	to	her
to	her	hair
her	hair	.
hair	.	``
.	``	I'm
``	I'm	a
I'm	a	mess
a	mess	''
mess	''	,
''	,	she
,	she	said
she	said	,
said	,	and
,	and	suddenly
and	suddenly	she
suddenly	she	was
she	was	alarmed
was	alarmed	.
alarmed	.	``
.	``	Who
``	Who	are
Who	are	you
are	you	?
you	?	?
?	?	How
?	How	did
How	did	we
did	we	get
we	get	here
get	here	''
here	''	?
''	?	?
?	?	``
?	``	I'm
``	I'm	Dan
I'm	Dan	Morgan
Dan	Morgan	.
Morgan	.	This
.	This	is
This	is	the
is	the	Rafter
the	Rafter	Aj
Rafter	Aj	.
Aj	.	You
.	You	fell
You	fell	down
fell	down	in
down	in	front
in	front	of
front	of	the
of	the	house
the	house	,
house	,	and
,	and	I
and	I	carried
I	carried	you
carried	you	in
you	in	.
in	.	I
.	I	gave
I	gave	you
gave	you	a
you	a	drink
a	drink	and
drink	and	then
and	then	you
then	you	went
you	went	to
went	to	sleep
to	sleep	''
sleep	''	.
''	.	``
.	``	Oh
``	Oh	''
Oh	''	.
''	.	She
.	She	stared
She	stared	at
stared	at	him
at	him	,
him	,	her
,	her	eyes
her	eyes	wide
eyes	wide	as
wide	as	she
as	she	thought
she	thought	about
thought	about	what
about	what	he
what	he	had
he	had	said
had	said	;
said	;	;
;	;	then
;	then	she
then	she	murmured
she	murmured	:
murmured	:	``
:	``	You're
``	You're	very
You're	very	kind
very	kind	,
kind	,	Mr.
,	Mr.	Morgan
Mr.	Morgan	.
Morgan	.	Do
.	Do	you
Do	you	take
you	take	in
take	in	all
in	all	the
all	the	strays
the	strays	who
strays	who	come
who	come	by
come	by	''
by	''	?
''	?	?
?	?	``
?	``	I
``	I	don't
I	don't	have
don't	have	many
have	many	strays
many	strays	coming
strays	coming	to
coming	to	my
to	my	front
my	front	door
front	door	''
door	''	,
''	,	he
,	he	said
he	said	.
said	.	``
.	``	Think
``	Think	you
Think	you	can
you	can	walk
can	walk	to
walk	to	the
to	the	table
the	table	''
table	''	?
''	?	?
?	?	``
?	``	Of
``	Of	course
Of	course	''
course	''	.
''	.	She
.	She	got
She	got	to
got	to	her
to	her	feet
her	feet	,
feet	,	staggered
,	staggered	,
staggered	,	and
,	and	almost
and	almost	fell
almost	fell	.
fell	.	He
.	He	caught
He	caught	her
caught	her	by
her	by	an
by	an	arm
an	arm	and
arm	and	helped
and	helped	her
helped	her	into
her	into	the
into	the	kitchen
the	kitchen	.
kitchen	.	She
.	She	sat
She	sat	down
sat	down	at
down	at	the
at	the	table
the	table	,
table	,	shaking
,	shaking	her
shaking	her	head
her	head	.
head	.	``
.	``	I'm
``	I'm	sorry
I'm	sorry	,
sorry	,	Mr.
,	Mr.	Morgan
Mr.	Morgan	.
